url;nombre_largo;sigla;grupo_portales;tipo_ambiente;ambiente_portal
https://www1.gub.uy/contaduria-general-nacion;Contaduría General de la Nación;CGN;Eliminados;portal;staging
https://www.gub.uy/old-presidencia;Presidencia (versión anterior);OLD PRESIDENCIA;Eliminados;portal;produccion
https://www1.gub.uy/salud-bucal;Portal Salud Bucal;SALUD BUCAL;Eliminados;portal;staging
https://www.gub.uy/secretaria-comunicaciones-presidencia;Secretaría de Comunicación de Presidencia;SECCPRES;Eliminados;portal;produccion
https://www1.gub.uy/secretaria-nacional-ambiente-agua-cambio-climatico;Secretaría Nacional de Ambiente, Agua y Cambio Climático;SNAACC;Eliminados;portal;staging
https://www1.gub.uy/secretaria-nacional-ciencia-tecnologia;Secretaría Nacional de Ciencia y Tecnología;SENACYT;Eliminados;portal;staging
https://www1.gub.uy/test-tramites;Portal de Test Trámites;TEST TRAMITES;Eliminados;especial;staging
https://www1.gub.uy/unidad-asesoramiento-monitoreo-politicas;Unidad de Asesoramiento y Monitoreo de Políticas;UAMP;Eliminados;portal;staging
https://www.gub.uy/corte-electoral;Corte Electoral;CE;Grupo 3;portal;produccion
https://www1.gub.uy/direccion-nacional-aduanas;Dirección Nacional de Aduanas;DNA;Grupo 3;portal;staging
https://www1.gub.uy/infraestructura-datos-espaciales;Infraestructura de Datos Espaciales;IDEuy;Grupo 3;portal;staging
https://www1.gub.uy/intendencia-cerro-largo;Intendencia de Cerro Largo;ICL;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-defensa-nacional;Ministerio de Defensa Nacional;MDN;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-industria-energia-mineria;Ministerio de Industria, Energía y Minería;MIEM;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-interior;Ministerio del Interior;MI;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-transporte-obras-publicas;Ministerio de Transporte y Obras Públicas;MTOP;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-turismo;Ministerio de Turismo;MINTUR;Grupo 3;portal;staging
https://www1.gub.uy/ministerio-vivienda-ordenamiento-territorial;Ministerio de Vivienda y Ordenamiento Territorial;MVOT;Grupo 3;portal;staging
https://www1.gub.uy/unidad-reguladora-servicios-energia-agua;Unidad Reguladora de Servicios de Energía y Agua;URSEA;Grupo 3;portal;staging
https://www.gub.uy/agencia-reguladora-compras-estatales;Agencia Reguladora de Compras Estatales;ARCE;Grupo 4;portal;produccion
https://www1.gub.uy/agencia-reguladora-compras-estatales;Agencia Reguladora de Compras Estatales;ARCE;Grupo 4;portal;staging
https://www.gub.uy/agencia-uruguaya-cooperacion-internacional;Agencia Uruguaya de Cooperación Internacional;AUCI;Grupo 4;portal;produccion
https://www1.gub.uy/agencia-uruguaya-cooperacion-internacional;Agencia Uruguaya de Cooperación Internacional;AUCI;Grupo 4;portal;staging
https://www.gub.uy/centro-nacional-respuesta-incidentes-seguridad-informatica;Centro Nacional de Respuesta a Incidentes de Seguridad Informática;CERTuy;Grupo 4;portal;produccion
https://www1.gub.uy/centro-nacional-respuesta-incidentes-seguridad-informatica;Centro Nacional de Respuesta a Incidentes de Seguridad Informática;CERTuy;Grupo 4;portal;staging
https://www.gub.uy/direccion-general-impositiva;Dirección General Impositiva;DGI;Grupo 4;portal;produccion
https://www1.gub.uy/direccion-general-impositiva;Dirección General Impositiva;DGI;Grupo 4;portal;staging
https://www.gub.uy/institucion-nacional-derechos-humanos-uruguay;Institución Nacional de Derechos Humanos;INDDHH;Grupo 4;portal;produccion
https://www1.gub.uy/institucion-nacional-derechos-humanos-uruguay;Institución Nacional de Derechos Humanos;INDDHH;Grupo 4;portal;staging
https://www.gub.uy/ministerio-ganaderia-agricultura-pesca;Ministerio de Ganadería, Agricultura y Pesca;MGAP;Grupo 4;portal;produccion
https://www1.gub.uy/ministerio-ganaderia-agricultura-pesca;Ministerio de Ganadería, Agricultura y Pesca;MGAP;Grupo 4;portal;staging
https://www.gub.uy/oficina-planeamiento-presupuesto;Oficina de Planeamiento y Presupuesto;OPP;Grupo 4;portal;produccion
https://www1.gub.uy/oficina-planeamiento-presupuesto;Oficina de Planeamiento y Presupuesto;OPP;Grupo 4;portal;staging
https://www.gub.uy/secretaria-derechos-humanos-pasado-reciente;Secretaría de Derechos Humanos para el Pasado Reciente;SDHPR;Grupo 4;portal;produccion
https://www1.gub.uy/secretaria-derechos-humanos-pasado-reciente;Secretaría de Derechos Humanos para el Pasado Reciente;SDHPR;Grupo 4;portal;staging
https://www.gub.uy/secretaria-nacional-lucha-contra-lavado-activos-financiamiento-terrorismo;Secretaría Nacional para la Lucha contra el Lavado de Activos;SENACLAFT;Grupo 4;portal;produccion
https://www1.gub.uy/secretaria-nacional-lucha-contra-lavado-activos-financiamiento-terrorismo;Secretaría Nacional para la Lucha contra el Lavado de Activos;SENACLAFT;Grupo 4;portal;staging
https://www.gub.uy/unidad-acceso-informacion-publica;Unidad de Acceso a la Información Pública;UAIP;Grupo 4;portal;produccion
https://www1.gub.uy/unidad-acceso-informacion-publica;Unidad de Acceso a la Información Pública;UAIP;Grupo 4;portal;staging
https://www.gub.uy/unidad-nacional-seguridad-vial;Unidad Nacional de Seguridad Vial;UNASEV;Grupo 4;portal;produccion
https://www1.gub.uy/unidad-nacional-seguridad-vial;Unidad Nacional de Seguridad Vial;UNASEV;Grupo 4;portal;staging
https://www.gub.uy/unidad-reguladora-servicios-comunicaciones;Unidad Reguladora de Servicios de Comunicaciones;URSEC;Grupo 4;portal;produccion
https://www1.gub.uy/unidad-reguladora-servicios-comunicaciones;Unidad Reguladora de Servicios de Comunicaciones;URSEC;Grupo 4;portal;staging
https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento;Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento;AGESIC;Grupo 5;portal;produccion
https://www1.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento;Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento;AGESIC;Grupo 5;portal;staging
https://www.gub.uy/instituto-nacional-estadistica;Instituto Nacional de Estadística;INE;Grupo 5;portal;produccion
https://www1.gub.uy/instituto-nacional-estadistica;Instituto Nacional de Estadística;INE;Grupo 5;portal;staging
https://www.gub.uy/junta-transparencia-etica-publica;Junta de Transparencia y Ética Pública;JUTEP;Grupo 5;portal;produccion
https://www1.gub.uy/junta-transparencia-etica-publica;Junta de Transparencia y Ética Pública;JUTEP;Grupo 5;portal;staging
https://www.gub.uy/ministerio-educacion-cultura;Ministerio de Educación y Cultura;MEC;Grupo 5;portal;produccion
https://www1.gub.uy/ministerio-educacion-cultura;Ministerio de Educación y Cultura;MEC;Grupo 5;portal;staging
https://www.gub.uy/ministerio-relaciones-exteriores;Ministerio de Relaciones Exteriores;MRREE;Grupo 5;portal;produccion
https://www1.gub.uy/ministerio-relaciones-exteriores;Ministerio de Relaciones Exteriores;MRREE;Grupo 5;portal;staging
https://www.gub.uy/ministerio-salud-publica;Ministerio de Salud Pública;MSP;Grupo 5;portal;produccion
https://www1.gub.uy/ministerio-salud-publica;Ministerio de Salud Pública;MSP;Grupo 5;portal;staging
https://www.gub.uy/portal-ejemplo;Portal de Ejemplo;Ejemplo;Grupo 5;portal;produccion
https://www1.gub.uy/portal-ejemplo;Portal de Ejemplo;Ejemplo;Grupo 5;portal;staging
https://www.gub.uy/secretaria-derechos-humanos;Secretaría de Derechos Humanos;SDH;Grupo 5;portal;produccion
https://www1.gub.uy/secretaria-derechos-humanos;Secretaría de Derechos Humanos;SDH;Grupo 5;portal;staging
https://www.gub.uy/secretaria-nacional-deporte;Secretaría Nacional del Deporte;SECND;Grupo 5;portal;produccion
https://www1.gub.uy/secretaria-nacional-deporte;Secretaría Nacional del Deporte;SECND;Grupo 5;portal;staging
https://www.gub.uy/sistema-nacional-emergencias;Sistema Nacional de Emergencias;SINAE;Grupo 5;portal;produccion
https://www1.gub.uy/sistema-nacional-emergencias;Sistema Nacional de Emergencias;SINAE;Grupo 5;portal;staging
https://www.gub.uy/unidad-certificacion-electronica;Unidad de Certificación Electrónica;UCE;Grupo 5;portal;produccion
https://www1.gub.uy/unidad-certificacion-electronica;Unidad de Certificación Electrónica;UCE;Grupo 5;portal;staging
https://www.gub.uy/congreso-intendentes;Congreso de Intendentes;CI;Grupo 6;portal;produccion
https://www1.gub.uy/congreso-intendentes;Congreso de Intendentes;CI;Grupo 6;portal;staging
https://www.gub.uy/intendencia-lavalleja;Intendencia de Lavalleja;IL;Grupo 6;portal;produccion
https://www1.gub.uy/intendencia-lavalleja;Intendencia de Lavalleja;IL;Grupo 6;portal;staging
https://www.gub.uy/junta-departamental-montevideo;Junta Departamental de Montevideo;JDM;Grupo 6;portal;produccion
https://www1.gub.uy/junta-departamental-montevideo;Junta Departamental de Montevideo;JDM;Grupo 6;portal;staging
https://www.gub.uy/junta-nacional-drogas;Junta Nacional de Drogas;JND;Grupo 6;portal;produccion
https://www1.gub.uy/junta-nacional-drogas;Junta Nacional de Drogas;JND;Grupo 6;portal;staging
https://www.gub.uy/ministerio-desarrollo-social;Ministerio de Desarrollo Social;MIDES;Grupo 6;portal;produccion
https://www1.gub.uy/ministerio-desarrollo-social;Ministerio de Desarrollo Social;MIDES;Grupo 6;portal;staging
https://www.gub.uy/ministerio-economia-finanzas;Ministerio de Economía y Finanzas;MEF;Grupo 6;portal;produccion
https://www1.gub.uy/ministerio-economia-finanzas;Ministerio de Economía y Finanzas;MEF;Grupo 6;portal;staging
